4-16/
5-4/
PRISM,without,2.51,2.63,2.50,2.53,2.49,2.52,2.58,2.51,2.59,2.49,2.49,2.53,2.65,2.51,2.53,2.52,2.50,2.60,2.52,2.51,2.54,2.52,2.61,2.54,2.47,2.49,2.49,2.52,2.59,2.49,2.51,2.55,2.51,2.61,2.50,2.50,2.50,2.50,2.57,2.68,2.53,2.54,2.54,2.51,2.58,2.55,2.50,2.51,2.49,2.61
PRISM,standard,1.40,1.41,1.43,1.40,1.38,1.42,1.43,1.41,1.53,1.40,1.40,1.41,1.38,1.39,1.36,1.38,1.40,1.51,1.39,1.40,1.40,1.41,1.40,1.40,1.43,1.42,1.43,1.40,1.37,1.40,1.42,1.41,1.39,1.41,1.46,1.38,1.40,1.44,1.41,1.40,1.40,1.42,1.40,1.45,1.38,1.39,1.39,1.43,1.43,1.41
MRMC,without,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.12,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
MRMC,standard,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

5-6/
PRISM,without,12.77,14.12,12.41,12.43,12.51,12.44,12.99,12.66,12.62,12.48,12.49,12.50,12.53,12.42,12.01,12.72,12.82,12.70,12.44,12.50,12.50,12.54,12.73,12.55,12.50,12.68,12.49,12.52,12.17,12.37,12.88,12.48,12.47,12.54,12.56,12.50,11.94,12.66,12.59,12.63,12.48,12.44,12.36,12.58,12.33,12.64,12.79,12.51,12.79,12.61
PRISM,standard,1.85,1.91,1.87,1.91,1.88,1.87,1.89,2.00,1.87,1.92,1.85,1.91,1.89,1.91,1.87,1.86,2.06,1.88,1.87,1.87,1.91,1.92,1.84,1.87,1.89,2.00,1.90,1.86,1.87,1.91,1.86,1.89,1.86,1.86,1.92,1.89,1.90,1.93,1.87,1.87,1.91,1.89,1.94,1.88,1.87,1.89,1.90,1.89,1.90,1.87
MRMC,without,0.70,0.70,0.69,0.69,0.69,0.74,0.74,0.69,0.69,0.70,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.70,0.78,0.70,0.69,0.70,0.69,0.69,0.69,0.69,0.69,0.70,0.69,0.70,0.69,0.69,0.69,0.78,0.69,0.70,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.74
MRMC,standard,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03

5-8/
PRISM,without,52.74,48.10,47.71,49.27,47.71,47.97,47.42,48.04,47.73,49.10,47.98,54.20,47.67,48.13,54.59,53.84,53.43,53.83,48.02,52.97,54.65,54.19,53.89,54.29,48.37,54.88,54.07,47.69,54.51,48.04,47.93,49.32,47.74,50.08,52.97,48.12,49.53,49.60,53.26,54.23,47.46,47.42,47.84,52.65,49.57,47.97,47.69,52.73,47.43,48.83
PRISM,standard,2.29,2.77,2.61,2.62,2.61,2.63,2.71,2.53,2.49,2.22,2.52,2.62,2.49,2.73,2.29,2.60,2.57,2.57,2.58,2.65,2.71,2.68,2.68,2.44,2.60,2.56,2.50,2.75,2.12,2.70,2.36,2.37,2.26,2.70,2.24,2.16,2.81,2.62,2.13,2.62,2.60,2.40,2.61,2.59,2.73,2.70,2.60,2.61,2.61,2.18
MRMC,without,3.20,3.38,3.31,3.15,3.38,3.23,3.21,3.42,3.24,3.24,3.43,3.33,3.22,3.51,3.23,3.24,3.27,3.42,3.26,3.26,3.40,3.28,3.29,3.40,3.20,3.24,3.37,3.28,3.22,3.37,3.26,3.35,3.37,3.27,3.26,3.39,3.24,3.18,3.37,3.31,3.26,3.28,3.29,3.30,3.25,3.37,3.32,3.31,3.41,3.31
MRMC,standard,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.17,0.18,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14
